sin(x),cos(x)
sin(3.120) = 0.022,cos(3.120) = -1.000
sin(3.130) = 0.012,cos(3.130) = -1.000
sin(3.140) = 0.002,cos(3.140) = -1.000
sin(3.150) = -0.008,cos(3.150) = -1.000
sin(3.160) = -0.018,cos(3.160) = -1.000
sin(3.170) = -0.028,cos(3.170) = -1.000
sin(3.180) = -0.038,cos(3.180) = -0.999
sin(3.190) = -0.048,cos(3.190) = -0.999
sin(3.200) = -0.058,cos(3.200) = -0.998
sin(3.210) = -0.068,cos(3.210) = -0.998
sin(3.220) = -0.078,cos(3.220) = -0.997
sin(3.230) = -0.088,cos(3.230) = -0.996
sin(3.240) = -0.098,cos(3.240) = -0.995
sin(3.250) = -0.108,cos(3.250) = -0.994
sin(3.260) = -0.118,cos(3.260) = -0.993
sin(3.270) = -0.128,cos(3.270) = -0.992
sin(3.280) = -0.138,cos(3.280) = -0.990
sin(3.290) = -0.148,cos(3.290) = -0.989
sin(3.300) = -0.158,cos(3.300) = -0.987
sin(3.310) = -0.168,cos(3.310) = -0.986
sin(3.320) = -0.177,cos(3.320) = -0.984
sin(3.330) = -0.187,cos(3.330) = -0.982
sin(3.340) = -0.197,cos(3.340) = -0.980
sin(3.350) = -0.207,cos(3.350) = -0.978
sin(3.360) = -0.217,cos(3.360) = -0.976
sin(3.370) = -0.226,cos(3.370) = -0.974
sin(3.380) = -0.236,cos(3.380) = -0.972
sin(3.390) = -0.246,cos(3.390) = -0.969
sin(3.400) = -0.256,cos(3.400) = -0.967
sin(3.410) = -0.265,cos(3.410) = -0.964
sin(3.420) = -0.275,cos(3.420) = -0.961
sin(3.430) = -0.284,cos(3.430) = -0.959
sin(3.440) = -0.294,cos(3.440) = -0.956
sin(3.450) = -0.304,cos(3.450) = -0.953
sin(3.460) = -0.313,cos(3.460) = -0.950
sin(3.470) = -0.323,cos(3.470) = -0.947
sin(3.480) = -0.332,cos(3.480) = -0.943
sin(3.490) = -0.341,cos(3.490) = -0.940
sin(3.500) = -0.351,cos(3.500) = -0.936
sin(3.510) = -0.360,cos(3.510) = -0.933
sin(3.520) = -0.369,cos(3.520) = -0.929
sin(3.530) = -0.379,cos(3.530) = -0.926
sin(3.540) = -0.388,cos(3.540) = -0.922
sin(3.550) = -0.397,cos(3.550) = -0.918
sin(3.560) = -0.406,cos(3.560) = -0.914
sin(3.570) = -0.415,cos(3.570) = -0.910
sin(3.580) = -0.424,cos(3.580) = -0.905
sin(3.590) = -0.434,cos(3.590) = -0.901
sin(3.600) = -0.443,cos(3.600) = -0.897
sin(3.610) = -0.451,cos(3.610) = -0.892
sin(3.620) = -0.460,cos(3.620) = -0.888
sin(3.630) = -0.469,cos(3.630) = -0.883
sin(3.640) = -0.478,cos(3.640) = -0.878
sin(3.650) = -0.487,cos(3.650) = -0.874
sin(3.660) = -0.495,cos(3.660) = -0.869
sin(3.670) = -0.504,cos(3.670) = -0.864
sin(3.680) = -0.513,cos(3.680) = -0.859
sin(3.690) = -0.521,cos(3.690) = -0.853
sin(3.700) = -0.530,cos(3.700) = -0.848
sin(3.710) = -0.538,cos(3.710) = -0.843
sin(3.720) = -0.547,cos(3.720) = -0.837
sin(3.730) = -0.555,cos(3.730) = -0.832
sin(3.740) = -0.563,cos(3.740) = -0.826
sin(3.750) = -0.572,cos(3.750) = -0.821
sin(3.760) = -0.580,cos(3.760) = -0.815
sin(3.770) = -0.588,cos(3.770) = -0.809
sin(3.780) = -0.596,cos(3.780) = -0.803
sin(3.790) = -0.604,cos(3.790) = -0.797
sin(3.800) = -0.612,cos(3.800) = -0.791
sin(3.810) = -0.620,cos(3.810) = -0.785
sin(3.820) = -0.628,cos(3.820) = -0.779
sin(3.830) = -0.635,cos(3.830) = -0.772
sin(3.840) = -0.643,cos(3.840) = -0.766
sin(3.850) = -0.651,cos(3.850) = -0.759
sin(3.860) = -0.658,cos(3.860) = -0.753
sin(3.870) = -0.666,cos(3.870) = -0.746
sin(3.880) = -0.673,cos(3.880) = -0.740
sin(3.890) = -0.680,cos(3.890) = -0.733
sin(3.900) = -0.688,cos(3.900) = -0.726
sin(3.910) = -0.695,cos(3.910) = -0.719
sin(3.920) = -0.702,cos(3.920) = -0.712
sin(3.930) = -0.709,cos(3.930) = -0.705
sin(3.940) = -0.716,cos(3.940) = -0.698
sin(3.950) = -0.723,cos(3.950) = -0.691
sin(3.960) = -0.730,cos(3.960) = -0.683
sin(3.970) = -0.737,cos(3.970) = -0.676
sin(3.980) = -0.744,cos(3.980) = -0.669
sin(3.990) = -0.750,cos(3.990) = -0.661
sin(4.000) = -0.757,cos(4.000) = -0.654
sin(4.010) = -0.763,cos(4.010) = -0.646
sin(4.020) = -0.770,cos(4.020) = -0.638
sin(4.030) = -0.776,cos(4.030) = -0.631
sin(4.040) = -0.782,cos(4.040) = -0.623
sin(4.050) = -0.789,cos(4.050) = -0.615
sin(4.060) = -0.795,cos(4.060) = -0.607
sin(4.070) = -0.801,cos(4.070) = -0.599
sin(4.080) = -0.807,cos(4.080) = -0.591
sin(4.090) = -0.812,cos(4.090) = -0.583
sin(4.100) = -0.818,cos(4.100) = -0.575
sin(4.110) = -0.824,cos(4.110) = -0.567
sin(4.120) = -0.830,cos(4.120) = -0.558
sin(4.130) = -0.835,cos(4.130) = -0.550
sin(4.140) = -0.841,cos(4.140) = -0.542
sin(4.150) = -0.846,cos(4.150) = -0.533
sin(4.160) = -0.851,cos(4.160) = -0.525
sin(4.170) = -0.856,cos(4.170) = -0.516
sin(4.180) = -0.862,cos(4.180) = -0.508
sin(4.190) = -0.867,cos(4.190) = -0.499
sin(4.200) = -0.872,cos(4.200) = -0.490
sin(4.210) = -0.876,cos(4.210) = -0.482
sin(4.220) = -0.881,cos(4.220) = -0.473
sin(4.230) = -0.886,cos(4.230) = -0.464
sin(4.240) = -0.890,cos(4.240) = -0.455
sin(4.250) = -0.895,cos(4.250) = -0.446
sin(4.260) = -0.899,cos(4.260) = -0.437
sin(4.270) = -0.904,cos(4.270) = -0.428
sin(4.280) = -0.908,cos(4.280) = -0.419
sin(4.290) = -0.912,cos(4.290) = -0.410
sin(4.300) = -0.916,cos(4.300) = -0.401
sin(4.310) = -0.920,cos(4.310) = -0.392
sin(4.320) = -0.924,cos(4.320) = -0.382
sin(4.330) = -0.928,cos(4.330) = -0.373
sin(4.340) = -0.931,cos(4.340) = -0.364
sin(4.350) = -0.935,cos(4.350) = -0.355
sin(4.360) = -0.939,cos(4.360) = -0.345
sin(4.370) = -0.942,cos(4.370) = -0.336
sin(4.380) = -0.945,cos(4.380) = -0.326
sin(4.390) = -0.948,cos(4.390) = -0.317
sin(4.400) = -0.952,cos(4.400) = -0.307
sin(4.410) = -0.955,cos(4.410) = -0.298
sin(4.420) = -0.958,cos(4.420) = -0.288
sin(4.430) = -0.960,cos(4.430) = -0.279
sin(4.440) = -0.963,cos(4.440) = -0.269
sin(4.450) = -0.966,cos(4.450) = -0.259
sin(4.460) = -0.968,cos(4.460) = -0.250
sin(4.470) = -0.971,cos(4.470) = -0.240
sin(4.480) = -0.973,cos(4.480) = -0.230
sin(4.490) = -0.975,cos(4.490) = -0.221
sin(4.500) = -0.978,cos(4.500) = -0.211
sin(4.510) = -0.980,cos(4.510) = -0.201
sin(4.520) = -0.982,cos(4.520) = -0.191
sin(4.530) = -0.983,cos(4.530) = -0.181
sin(4.540) = -0.985,cos(4.540) = -0.172
sin(4.550) = -0.987,cos(4.550) = -0.162
sin(4.560) = -0.988,cos(4.560) = -0.152
sin(4.570) = -0.990,cos(4.570) = -0.142
sin(4.580) = -0.991,cos(4.580) = -0.132
sin(4.590) = -0.993,cos(4.590) = -0.122
sin(4.600) = -0.994,cos(4.600) = -0.112
sin(4.610) = -0.995,cos(4.610) = -0.102
sin(4.620) = -0.996,cos(4.620) = -0.092
sin(4.630) = -0.997,cos(4.630) = -0.082
sin(4.640) = -0.997,cos(4.640) = -0.072
sin(4.650) = -0.998,cos(4.650) = -0.062
sin(4.660) = -0.999,cos(4.660) = -0.052
sin(4.670) = -0.999,cos(4.670) = -0.042
sin(4.680) = -0.999,cos(4.680) = -0.032
sin(4.690) = -1.000,cos(4.690) = -0.022
sin(4.700) = -1.000,cos(4.700) = -0.012
sin(4.710) = -1.000,cos(4.710) = -0.002
sin(4.720) = -1.000,cos(4.720) = 0.008
sin(4.730) = -1.000,cos(4.730) = 0.018
sin(4.740) = -1.000,cos(4.740) = 0.028
sin(4.750) = -0.999,cos(4.750) = 0.038
sin(4.760) = -0.999,cos(4.760) = 0.048
sin(4.770) = -0.998,cos(4.770) = 0.058
sin(4.780) = -0.998,cos(4.780) = 0.068
sin(4.790) = -0.997,cos(4.790) = 0.078
sin(4.800) = -0.996,cos(4.800) = 0.087
sin(4.810) = -0.995,cos(4.810) = 0.097
sin(4.820) = -0.994,cos(4.820) = 0.107
sin(4.830) = -0.993,cos(4.830) = 0.117
sin(4.840) = -0.992,cos(4.840) = 0.127
sin(4.850) = -0.991,cos(4.850) = 0.137
sin(4.860) = -0.989,cos(4.860) = 0.147
sin(4.870) = -0.988,cos(4.870) = 0.157
sin(4.880) = -0.986,cos(4.880) = 0.167
sin(4.890) = -0.984,cos(4.890) = 0.177
sin(4.900) = -0.982,cos(4.900) = 0.187
sin(4.910) = -0.981,cos(4.910) = 0.196
sin(4.920) = -0.979,cos(4.920) = 0.206
sin(4.930) = -0.976,cos(4.930) = 0.216
sin(4.940) = -0.974,cos(4.940) = 0.226
sin(4.950) = -0.972,cos(4.950) = 0.235
sin(4.960) = -0.970,cos(4.960) = 0.245
sin(4.970) = -0.967,cos(4.970) = 0.255
sin(4.980) = -0.964,cos(4.980) = 0.264
sin(4.990) = -0.962,cos(4.990) = 0.274
sin(5.000) = -0.959,cos(5.000) = 0.284
sin(5.010) = -0.956,cos(5.010) = 0.293
sin(5.020) = -0.953,cos(5.020) = 0.303
sin(5.030) = -0.950,cos(5.030) = 0.312
sin(5.040) = -0.947,cos(5.040) = 0.322
sin(5.050) = -0.944,cos(5.050) = 0.331
sin(5.060) = -0.940,cos(5.060) = 0.341
sin(5.070) = -0.937,cos(5.070) = 0.350
sin(5.080) = -0.933,cos(5.080) = 0.359
sin(5.090) = -0.930,cos(5.090) = 0.369
sin(5.100) = -0.926,cos(5.100) = 0.378
sin(5.110) = -0.922,cos(5.110) = 0.387
sin(5.120) = -0.918,cos(5.120) = 0.396
sin(5.130) = -0.914,cos(5.130) = 0.406
sin(5.140) = -0.910,cos(5.140) = 0.415
sin(5.150) = -0.906,cos(5.150) = 0.424
sin(5.160) = -0.901,cos(5.160) = 0.433
sin(5.170) = -0.897,cos(5.170) = 0.442
sin(5.180) = -0.893,cos(5.180) = 0.451
sin(5.190) = -0.888,cos(5.190) = 0.460
sin(5.200) = -0.883,cos(5.200) = 0.469
sin(5.210) = -0.879,cos(5.210) = 0.477
sin(5.220) = -0.874,cos(5.220) = 0.486
sin(5.230) = -0.869,cos(5.230) = 0.495
sin(5.240) = -0.864,cos(5.240) = 0.503
sin(5.250) = -0.859,cos(5.250) = 0.512
sin(5.260) = -0.854,cos(5.260) = 0.521
sin(5.270) = -0.849,cos(5.270) = 0.529
sin(5.280) = -0.843,cos(5.280) = 0.538
sin(5.290) = -0.838,cos(5.290) = 0.546
sin(5.300) = -0.832,cos(5.300) = 0.554
sin(5.310) = -0.827,cos(5.310) = 0.563
sin(5.320) = -0.821,cos(5.320) = 0.571
sin(5.330) = -0.815,cos(5.330) = 0.579
sin(5.340) = -0.809,cos(5.340) = 0.587
sin(5.350) = -0.804,cos(5.350) = 0.595
